Species,Common Name,Order,Body Mass,Brain Mass,Neurons Cortex,Non Neurons Cortex,Neurons Cerebellum,Non Neurons Cerebellum,Neurons (Rest of Brain),Non Neurons (Rest of Brain),Neurons Whole Brain,Non Neurons Whole Brain,F+H+J,G+I+K
Loxodonta africana ,Elephant,Afrotheria ,"50,00,000","2,848","55932,41,033","556989,98,687","2507085,27,536","385072,29,964","446,71,471","1524,66,529","2570434,73,412","2160579,82,337","2563464,40,040","943586,95,180"
Homo sapiens ,Humans,Primata ,"70,000","1,233","163400,00,000","608400,00,000","690300,00,000","160400,00,000","6900,00,000","77300,00,000","860600,00,000","846100,00,000","860600,00,000","846100,00,000"
Gorilla gorilla ,Gorilla,Primata ,"70,000",483,"91000,00,000","315000,00,000","264000,00,000","29000,00,000","3000,00,000","29000,00,000","334000,00,000","360000,00,000","358000,00,000","373000,00,000"
Pongo pygmaeus ,Orangutan,Primata ,"1,75,000",470,"89000,00,000","306000,00,000","263000,00,000","22000,00,000","3000,00,000","29000,00,000","320000,00,000","350000,00,000","355000,00,000","357000,00,000"
Papio anubis cynocephalus ,Baboons,Primata ,"8,000",120,"28750,28,372","75697,51,628","77949,07,300","5259,77,700","2781,50,760","10798,09,236","109480,86,440","91755,38,564","109480,86,432","91755,38,564"
Giraffa camelopardalis ,Giraffe,Artiodactyla,"4,70,000",399,"17305,13,460","275137,06,540","88780,76,563","55203,60,938","1426,97,625","48788,64,876","107512,87,650","379129,32,350","107512,87,648","379129,32,354"
Macaca mulatta ,Rhesus macaque,Primata ,"3,900",70,"17100,00,000","52700,00,000","45500,00,000","9310,30,000","1219,00,000","9665,20,000","63761,60,000","71629,00,000","63819,00,000","71675,50,000"
Tragelaphus strepsiceros ,Greater kudu,Artiodactyla ,"2,18,000",213,"7625,67,178","123023,04,448","40424,94,141","12660,99,609","1065,90,230","34087,79,523","49116,51,549","169771,83,580","49116,51,549","169771,83,580"
Macaca radiata ,Bonnet macaque,Primata ,"8,012",48,"16557,07,140","38086,72,860","20385,54,160","4535,65,840","613,59,000","6166,41,000","37556,20,300","48788,79,700","37556,20,300","48788,79,700"
Cebus apella,Capuchin,Primata ,"3,340",39,"11400,00,000","25500,00,000","24900,00,000","2458,10,000","618,50,000","5061,10,000","36905,20,000","32977,40,000","36918,50,000","33019,20,000"
Macaca fascicularis ,Long tailed macaque,Primata ,"5,700",36,"8009,55,000","27588,45,000","25726,00,000","1354,00,000","654,49,620","2601,70,380","34390,04,620","31544,15,380","34390,04,620","31544,15,380"
Saimiri sciureus ,Squirrel monkey,Primata,859,21,"13400,00,000","16100,00,000","18200,00,000","1330,20,000","655,30,000","3025,90,000","32464,30,000","20730,30,000","32255,30,000","20456,10,000"
Damaliscus dorcas phillipsi ,Blesbuck,Artiodactyla ,"60,000",111,"5706,73,431","67622,56,227","24017,12,670","4439,18,456","864,28,126","21360,71,876","30588,14,227","93432,46,559","30588,14,227","93422,46,559"
Antidorcas marsupialis ,Springbok,Artiodactyla ,"25,000",69,"3968,96,159","41262,59,275","22572,14,074","4672,44,676","704,85,000","13192,80,624","27245,95,233","59127,84,575","27245,95,233","59127,84,575"
Sus scrofa domesticus ,Pig,Artiodactyla ,"1,00,000",42,"3070,82,404","32502,51,354","18583,20,313","2672,44,676","587,09,836","10968,21,414","22241,12,553","46957,83,705","22241,12,553","46143,17,444"
Hydrochoerus hydrochaeris ,Capybara,Glires ,"47,500",48,"3065,01,565","18478,18,435","11578,10,000","5709,40,000","1082,50,000","7791,70,000","15725,60,385","31979,29,615","15725,61,565","31979,28,435"
Aotus trivirgatus ,Owl monkey,Primata ,925,11,"4419,00,000","6954,20,000","10400,00,000","1452,70,000","493,40,000","3134,60,000","14684,10,000","11951,30,000","15312,40,000","11541,50,000"
Otolemur garnettii ,Galago,Primata ,947,6,"2260,90,000","4020,70,000","7435,00,000","659,60,000","208,00,000","1474,40,000","9360,00,000","6665,90,000","9903,90,000","6154,70,000"
Dasyprocta prymnolopha,Agouti,Glires ,"2,843",9,"1106,41,950","4162,08,050","6734,88,085","1559,86,915","432,04,320","3568,35,680","7951,12,070","9516,77,930","8273,34,355","9290,30,645"
Procavia capensis ,Badger,Afrotheria ,"2,517",10,"1979,33,000","3666,20,000","4883,73,000","910,05,000","693,58,240","1629,84,760","7556,53,000","6206,22,000","7556,64,240","6206,09,760"
Callithrix jacchus ,Common marmoset,Primata ,361,6,"2447,20,000","3953,40,000","3613,70,000","494,90,000","297,20,000","1459,10,000","6358,00,000","5907,40,000","6358,10,000","5907,40,000"
Dendrohyrax dorsalis ,Tree Hyrax,Afrotheria ,"1,150",8,"989,60,000","1835,40,000","3609,29,350","775,70,650","140,12,533","289,97,467","5045,72,834","4135,74,000","4739,01,883","2901,08,117"
Oryctolagus cuniculus ,Rabbit,Glires ,"4,600",4,"714,48,750","2548,01,250","3966,71,250","1245,78,750","260,85,000","2514,15,000","4942,05,000","6307,95,000","4942,05,000","6307,95,000"
Sciurus carolinensis ,Grey squirrel,Glires ,500,3,"773,34,617","2096,54,717","3428,32,180","1107,97,820","334,93,401","2100,23,933","4536,60,197","5304,76,469","4536,60,198","5304,76,470"
Cynomys sp. ,Dog,Glires,"1,515",3,"537,68,353","1834,51,647","3500,84,813","661,55,187","340,90,600","1677,42,733","4379,43,767","4173,49,567","4379,43,766","4173,49,567"
Microcebus murinus ,Mouse lemur,Primata,60,1,"223,10,400","706,49,600","2213,86,140","174,33,860","110,14,640","508,65,360","2547,11,180","1389,48,820","2547,11,180","1389,48,820"
Cavia porcellus ,Guinea pig,Glires,311,2,"435,10,525","1086,14,475","1678,54,925","362,90,075","221,91,825","831,83,175","2335,57,275","2280,87,725","2335,57,275","2280,87,725"
Scalopus aquaticus ,Common mole,Eulipotyphla ,95,0,"266,80,000","385,40,000","893,12,372","233,68,628","165,60,000","456,90,000","2035,20,000","1017,40,000","1325,52,372","1075,98,628"
Proechimys cayennensis,Spiny-rat,Glires ,223,1,"260,86,024","718,33,039","1625,12,050","363,72,950","134,92,039","730,68,898","2020,90,113","1812,74,887","2020,90,113","1812,74,887"
Rattus norvegicus,Rat,Glires ,315,1,"310,17,192","456,87,808","1391,71,882","290,05,617","186,78,758","472,21,243","1888,67,832","1219,14,668","1888,67,832","1219,14,668"
